seed	n_val	n_test	n_full	gt_in_prompt	raffles_step@1_val	raffles_step@1_test	raffles_step@1_full	raffles_agent@1_val	raffles_agent@1_test	raffles_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	True	0.2777777777777778	0.2608695652173913	0.26373626373626374	0.5	0.6739130434782609	0.6373626373626373	0.2608695652173913	0.6739130434782609	0.26373626373626374	0.6373626373626373
2	18	46	91	True	0.1111111111111111	0.2826086956521739	0.26373626373626374	0.6111111111111112	0.5869565217391305	0.6373626373626373	0.2826086956521739	0.5869565217391305	0.26373626373626374	0.6373626373626373
3	18	46	91	True	0.2777777777777778	0.2608695652173913	0.26373626373626374	0.7777777777777778	0.5434782608695652	0.6373626373626373	0.2608695652173913	0.5434782608695652	0.26373626373626374	0.6373626373626373
4	18	46	91	True	0.3888888888888889	0.17391304347826086	0.26373626373626374	0.6111111111111112	0.6521739130434783	0.6373626373626373	0.17391304347826086	0.6521739130434783	0.26373626373626374	0.6373626373626373
5	18	46	91	True	0.16666666666666666	0.30434782608695654	0.26373626373626374	0.5	0.7391304347826086	0.6373626373626373	0.30434782608695654	0.7391304347826086	0.26373626373626374	0.6373626373626373
6	18	46	91	True	0.3333333333333333	0.30434782608695654	0.26373626373626374	0.6111111111111112	0.6739130434782609	0.6373626373626373	0.30434782608695654	0.6739130434782609	0.26373626373626374	0.6373626373626373
7	18	46	91	True	0.3333333333333333	0.21739130434782608	0.26373626373626374	0.6111111111111112	0.6521739130434783	0.6373626373626373	0.21739130434782608	0.6521739130434783	0.26373626373626374	0.6373626373626373
8	18	46	91	True	0.3333333333333333	0.2391304347826087	0.26373626373626374	0.7777777777777778	0.5869565217391305	0.6373626373626373	0.2391304347826087	0.5869565217391305	0.26373626373626374	0.6373626373626373
9	18	46	91	True	0.2222222222222222	0.2391304347826087	0.26373626373626374	0.6666666666666666	0.6521739130434783	0.6373626373626373	0.2391304347826087	0.6521739130434783	0.26373626373626374	0.6373626373626373
10	18	46	91	True	0.16666666666666666	0.30434782608695654	0.26373626373626374	0.5	0.717391304347826	0.6373626373626373	0.30434782608695654	0.717391304347826	0.26373626373626374	0.6373626373626373
11	18	46	91	True	0.16666666666666666	0.30434782608695654	0.26373626373626374	0.6666666666666666	0.6521739130434783	0.6373626373626373	0.30434782608695654	0.6521739130434783	0.26373626373626374	0.6373626373626373
12	18	46	91	True	0.2777777777777778	0.21739130434782608	0.26373626373626374	0.6111111111111112	0.6521739130434783	0.6373626373626373	0.21739130434782608	0.6521739130434783	0.26373626373626374	0.6373626373626373
13	18	46	91	True	0.2222222222222222	0.30434782608695654	0.26373626373626374	0.7222222222222222	0.6521739130434783	0.6373626373626373	0.30434782608695654	0.6521739130434783	0.26373626373626374	0.6373626373626373
14	18	46	91	True	0.3333333333333333	0.15217391304347827	0.26373626373626374	0.6666666666666666	0.6304347826086957	0.6373626373626373	0.15217391304347827	0.6304347826086957	0.26373626373626374	0.6373626373626373
15	18	46	91	True	0.3333333333333333	0.2391304347826087	0.26373626373626374	0.6666666666666666	0.6304347826086957	0.6373626373626373	0.2391304347826087	0.6304347826086957	0.26373626373626374	0.6373626373626373
16	18	46	91	True	0.1111111111111111	0.2608695652173913	0.26373626373626374	0.7777777777777778	0.6086956521739131	0.6373626373626373	0.2608695652173913	0.6086956521739131	0.26373626373626374	0.6373626373626373
17	18	46	91	True	0.16666666666666666	0.2608695652173913	0.26373626373626374	0.5	0.717391304347826	0.6373626373626373	0.2608695652173913	0.717391304347826	0.26373626373626374	0.6373626373626373
18	18	46	91	True	0.3333333333333333	0.2608695652173913	0.26373626373626374	0.5555555555555556	0.6521739130434783	0.6373626373626373	0.2608695652173913	0.6521739130434783	0.26373626373626374	0.6373626373626373
19	18	46	91	True	0.3333333333333333	0.2826086956521739	0.26373626373626374	0.7222222222222222	0.717391304347826	0.6373626373626373	0.2826086956521739	0.717391304347826	0.26373626373626374	0.6373626373626373
20	18	46	91	True	0.2777777777777778	0.2826086956521739	0.26373626373626374	0.7222222222222222	0.6521739130434783	0.6373626373626373	0.2826086956521739	0.6521739130434783	0.26373626373626374	0.6373626373626373
