seed	n_val	n_test	n_full	gt_in_prompt	raffles_step@1_val	raffles_step@1_test	raffles_step@1_full	raffles_agent@1_val	raffles_agent@1_test	raffles_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False	0.4444444444444444	0.2391304347826087	0.3076923076923077	0.6111111111111112	0.6521739130434783	0.7032967032967034	0.2391304347826087	0.6521739130434783	0.3076923076923077	0.7032967032967034
2	18	46	91	False	0.2777777777777778	0.2608695652173913	0.3076923076923077	0.6111111111111112	0.6956521739130435	0.7032967032967034	0.2608695652173913	0.6956521739130435	0.3076923076923077	0.7032967032967034
3	18	46	91	False	0.3888888888888889	0.2608695652173913	0.3076923076923077	0.7777777777777778	0.6739130434782609	0.7032967032967034	0.2608695652173913	0.6739130434782609	0.3076923076923077	0.7032967032967034
4	18	46	91	False	0.3888888888888889	0.21739130434782608	0.3076923076923077	0.7777777777777778	0.6521739130434783	0.7032967032967034	0.21739130434782608	0.6521739130434783	0.3076923076923077	0.7032967032967034
5	18	46	91	False	0.4444444444444444	0.21739130434782608	0.3076923076923077	0.8888888888888888	0.6739130434782609	0.7032967032967034	0.21739130434782608	0.6739130434782609	0.3076923076923077	0.7032967032967034
6	18	46	91	False	0.3888888888888889	0.30434782608695654	0.3076923076923077	0.6666666666666666	0.6956521739130435	0.7032967032967034	0.30434782608695654	0.6956521739130435	0.3076923076923077	0.7032967032967034
7	18	46	91	False	0.2222222222222222	0.32608695652173914	0.3076923076923077	0.5555555555555556	0.7608695652173914	0.7032967032967034	0.32608695652173914	0.7608695652173914	0.3076923076923077	0.7032967032967034
8	18	46	91	False	0.2222222222222222	0.3695652173913043	0.3076923076923077	0.6111111111111112	0.7391304347826086	0.7032967032967034	0.3695652173913043	0.7391304347826086	0.3076923076923077	0.7032967032967034
9	18	46	91	False	0.2777777777777778	0.34782608695652173	0.3076923076923077	0.7222222222222222	0.7391304347826086	0.7032967032967034	0.34782608695652173	0.7391304347826086	0.3076923076923077	0.7032967032967034
10	18	46	91	False	0.3333333333333333	0.34782608695652173	0.3076923076923077	0.7222222222222222	0.717391304347826	0.7032967032967034	0.34782608695652173	0.717391304347826	0.3076923076923077	0.7032967032967034
11	18	46	91	False	0.2777777777777778	0.34782608695652173	0.3076923076923077	0.7222222222222222	0.7391304347826086	0.7032967032967034	0.34782608695652173	0.7391304347826086	0.3076923076923077	0.7032967032967034
12	18	46	91	False	0.3888888888888889	0.2608695652173913	0.3076923076923077	0.7222222222222222	0.717391304347826	0.7032967032967034	0.2608695652173913	0.717391304347826	0.3076923076923077	0.7032967032967034
13	18	46	91	False	0.2222222222222222	0.2826086956521739	0.3076923076923077	0.6111111111111112	0.6956521739130435	0.7032967032967034	0.2826086956521739	0.6956521739130435	0.3076923076923077	0.7032967032967034
14	18	46	91	False	0.3888888888888889	0.21739130434782608	0.3076923076923077	0.7222222222222222	0.7391304347826086	0.7032967032967034	0.21739130434782608	0.7391304347826086	0.3076923076923077	0.7032967032967034
15	18	46	91	False	0.3333333333333333	0.32608695652173914	0.3076923076923077	0.7222222222222222	0.6956521739130435	0.7032967032967034	0.32608695652173914	0.6956521739130435	0.3076923076923077	0.7032967032967034
16	18	46	91	False	0.16666666666666666	0.34782608695652173	0.3076923076923077	0.7222222222222222	0.7608695652173914	0.7032967032967034	0.34782608695652173	0.7608695652173914	0.3076923076923077	0.7032967032967034
17	18	46	91	False	0.16666666666666666	0.32608695652173914	0.3076923076923077	0.5555555555555556	0.782608695652174	0.7032967032967034	0.32608695652173914	0.782608695652174	0.3076923076923077	0.7032967032967034
18	18	46	91	False	0.3333333333333333	0.34782608695652173	0.3076923076923077	0.8888888888888888	0.717391304347826	0.7032967032967034	0.34782608695652173	0.717391304347826	0.3076923076923077	0.7032967032967034
19	18	46	91	False	0.4444444444444444	0.2826086956521739	0.3076923076923077	0.6111111111111112	0.7608695652173914	0.7032967032967034	0.2826086956521739	0.7608695652173914	0.3076923076923077	0.7032967032967034
20	18	46	91	False	0.3333333333333333	0.3695652173913043	0.3076923076923077	0.7222222222222222	0.7391304347826086	0.7032967032967034	0.3695652173913043	0.7391304347826086	0.3076923076923077	0.7032967032967034
