subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
captain	deepseek-8b	oat.s42	0.1490	0.4471	0.2235	0.4471	0.1822	0.3765	0.2101	0.3765	0.1647	0.3294	0.4471	0.2863	0.2235	0.4941	0.5176	0.6706	0.6824	0.7958	0.1381	85
captain	deepseek-8b	oat.s43	0.1451	0.4353	0.2176	0.4353	0.1659	0.3529	0.1909	0.3529	0.1529	0.3059	0.4353	0.2725	0.2118	0.4588	0.4824	0.6471	0.6588	0.7927	0.1327	85
captain	deepseek-8b	oat.s44	0.1490	0.4471	0.2235	0.4471	0.1420	0.2941	0.1622	0.2941	0.1412	0.2824	0.4471	0.2667	0.2000	0.4235	0.4471	0.6235	0.6471	0.7835	0.1292	85
captain	deepseek-8b	oat.s45	0.1373	0.4118	0.2059	0.4118	0.1526	0.3059	0.1725	0.3059	0.1647	0.3176	0.4118	0.2725	0.2353	0.4706	0.4941	0.6471	0.6471	0.7877	0.1350	85
captain	deepseek-8b	oat.s46	0.1412	0.4235	0.2118	0.4235	0.1744	0.3647	0.1989	0.3647	0.1765	0.3412	0.4235	0.2863	0.2353	0.4706	0.4941	0.6588	0.6706	0.7927	0.1347	85
captain	deepseek-8b	stepfinder.s42	0.1725	0.5176	0.2588	0.5176					0.2000	0.3412	0.5176	0.3294	0.2353	0.4353	0.4588	0.6000	0.6235	0.7369	0.1398	85
captain	deepseek-8b	stepfinder.s43	0.1294	0.3882	0.1941	0.3882					0.1176	0.2471	0.3882	0.2294	0.1529	0.2588	0.2706	0.4118	0.4706	0.6871	0.1021	85
captain	deepseek-8b	stepfinder.s44	0.0588	0.1765	0.0882	0.1765					0.0353	0.1176	0.1765	0.0961	0.1529	0.2000	0.2824	0.3529	0.4353	0.5234	0.0609	85
captain	deepseek-8b	stepfinder.s45	0.1216	0.3647	0.1824	0.3647					0.1882	0.2588	0.3647	0.2588	0.3412	0.4353	0.4706	0.5647	0.5765	0.7199	0.1469	85
captain	deepseek-8b	stepfinder.s46	0.1686	0.5059	0.2529	0.5059					0.1882	0.3882	0.5059	0.3275	0.2235	0.4235	0.4588	0.6588	0.6824	0.7567	0.1759	85
captain	qwen3-embedding-0.6b	stepfinder.e1	0.1444	0.4333	0.2167	0.4333					0.1500	0.3333	0.4333	0.2750	0.2000	0.5333	0.5333	0.6000	0.6167	0.6568	0.0959	60
captain	qwen3-embedding-0.6b	stepfinder.e10	0.1556	0.4667	0.2333	0.4667					0.2167	0.3833	0.4667	0.3278	0.3000	0.5500	0.5833	0.6667	0.6833	0.7527	0.1671	60
captain	qwen3-embedding-0.6b	stepfinder.e11	0.1500	0.4500	0.2250	0.4500					0.1500	0.2667	0.4500	0.2694	0.2833	0.5667	0.6000	0.6667	0.6667	0.6674	0.1188	60
captain	qwen3-embedding-0.6b	stepfinder.e12	0.1722	0.5167	0.2583	0.5167					0.1833	0.3500	0.5167	0.3222	0.3667	0.5333	0.6000	0.7167	0.7333	0.7617	0.1611	60
captain	qwen3-embedding-0.6b	stepfinder.e13	0.1500	0.4500	0.2250	0.4500					0.1333	0.2667	0.4500	0.2611	0.2333	0.4667	0.4833	0.6333	0.6833	0.6770	0.1075	60
captain	qwen3-embedding-0.6b	stepfinder.e14	0.1556	0.4667	0.2333	0.4667					0.1833	0.3833	0.4667	0.3111	0.2833	0.5000	0.5167	0.5833	0.6000	0.7243	0.1439	60
captain	qwen3-embedding-0.6b	stepfinder.e15	0.1611	0.4833	0.2417	0.4833					0.1500	0.3667	0.4833	0.2972	0.2500	0.4833	0.5000	0.6667	0.7000	0.6909	0.1323	60
captain	qwen3-embedding-0.6b	stepfinder.e16	0.1556	0.4667	0.2333	0.4667					0.2500	0.3667	0.4667	0.3417	0.3167	0.5667	0.5833	0.7500	0.7833	0.7611	0.1736	60
captain	qwen3-embedding-0.6b	stepfinder.e17	0.1611	0.4833	0.2417	0.4833					0.1833	0.2667	0.4833	0.2972	0.3000	0.5000	0.5333	0.6500	0.7167	0.7808	0.1636	60
